id,title,organiser,start,end,city,country,region,format,topics,audience,cost,costDisplay,url,flags,summary
EVT-9C6B0CAF5D,ICCA 2026,ICCA,2026-04-12,2026-04-15,Madrid,Spain,Europe,In-person,Arbitration; Disputes,Mixed,Paid,See website,https://icca2026.es/,Flagship,"Biennial flagship congress of the International Council for Commercial Arbitration, the premier global gathering for international arbitration practitioners."
EVT-2BEC8739AC,YIAG Fireside Chat in Madrid,LCIA,2026-04-13,2026-04-13,Madrid,Spain,Europe,In-person,Arbitration; Disputes; Networking,Junior,Free,Register,https://www.lcia.org/events/yiag-fireside-chat-in-madrid-379.aspx,,Informal discussion on international arbitration issues for young practitioners hosted by LCIA's YIAG in Madrid.
EVT-58CA67AB30,ICC Tokyo Arbitration Day,ICC,2026-04-22,2026-04-22,Tokyo,Japan,APAC,In-person,Arbitration; Disputes,Mixed,Paid,See website,https://2go.iccwbo.org/2026-icc-tokyo-arbitration.html,,ICC event in Tokyo examining international arbitration developments relevant to Japanese and Asian markets.
EVT-41BC32B6E5,Prague Arbitration Day,Prague Arbitration Day,2026-04-23,2026-04-23,Prague,Czech Republic,Europe,In-person,Arbitration; Disputes,Mixed,Paid,See website,https://praguearbitrationday.com/,,Annual Prague arbitration conference discussing contemporary issues in international commercial arbitration with Central European focus.
EVT-6CBB56F855,YIAG Tylney Hall Symposium,LCIA,2026-04-24,2026-04-24,England,United Kingdom,UK,In-person,Arbitration; Disputes; Networking,Junior,Free,Register,https://www.lcia.org/events/2026-yiag-april-tylney-hall-symposium-363.aspx,,Young practitioners' symposium on international arbitration hosted by the LCIA's Young International Arbitration Group at Tylney Hall.
EVT-41AEA97793,London International Disputes Week 2026,LIDW,2026-06-01,2026-06-05,London,United Kingdom,UK,Hybrid,Disputes; Arbitration; Litigation; Mediation; Networking,Mixed,Paid,Register,https://register.lidw.co.uk/,Flagship,"Seventh annual gathering of global international disputes community featuring 150+ events over five days. Theme: Tradition, trust and transformation in international dispute resolution. Expected 10,000+ attendees from 100+ countries."
EVT-1F8768AA6C,International Arbitration Day,LIDW,2026-06-01,2026-06-01,London,United Kingdom,UK,In-person,Arbitration; Disputes,Mixed,Paid,Register,https://register.lidw.co.uk/event/580,,Opening day event for London International Disputes Week focusing on international arbitration practice and developments.
EVT-E5C66A6095,LIDW Opening Reception,LIDW,2026-06-01,2026-06-01,London,United Kingdom,UK,In-person,Networking,Mixed,Paid,Register,https://register.lidw.co.uk/event/587,,"Opening reception at Southwark Cathedral to launch London International Disputes Week, providing networking opportunities for international disputes professionals."
EVT-30414120EA,LIDW Main Conference,LIDW,2026-06-02,2026-06-04,London,United Kingdom,UK,In-person,Disputes; Arbitration; Litigation; Mediation,Mixed,Paid,Register,https://register.lidw.co.uk/event/579,Flagship,"Primary LIDW conference for 700+ delegates covering international dispute resolution topics including arbitration, litigation and mediation with drinks reception."
EVT-5A29C6918A,LegalTech Showcase,LIDW,2026-06-02,2026-06-04,London,United Kingdom,UK,In-person,Disputes,Mixed,Paid,Register,https://register.lidw.co.uk/event/601,,Showcase of legal technology solutions and innovations for international disputes practitioners during London International Disputes Week.
EVT-EBCBD1B168,LIDW NextGen Social at Boulebar,LIDW NextGen,2026-06-02,2026-06-04,London,United Kingdom,UK,In-person,Networking,Junior,Paid,Register,https://register.lidw.co.uk/event/612,,Informal social networking event at Boulebar for junior and young-at-heart practitioners in international dispute resolution during LIDW.
EVT-BF70313CF7,LIDW Gala Dinner,LIDW,2026-06-03,2026-06-03,London,United Kingdom,UK,In-person,Networking,Mixed,Paid,Register,https://register.lidw.co.uk/event/588,,Formal gala dinner at Raffles London providing networking opportunity for international disputes community during LIDW.
EVT-A199FBAB25,43rd Cambridge International Symposium on Economic Crime,Cambridge International Symposium on Economic Crime,2026-08-23,2026-08-30,Cambridge,United Kingdom,UK,In-person,Financial Crime; Fraud; AML; Bribery; ABC; Sanctions; Enforcement; Compliance,Mixed,Paid,Register,https://www.crimesymposium.org/register,Flagship,"Week-long symposium at Jesus College, Cambridge covering economic crime topics. Attendees can register for the full week or individual days, with lunch, cocktails, dinner, and optional accommodation included."
EVT-88385E6D36,Dispute Resolution in the International Energy Business,LCIA,2026-10-15,2026-10-16,London,United Kingdom,UK,In-person,Arbitration; Disputes; Litigation,Mixed,Paid,Register,https://www.lcia.org/events/2026-lcia-aien-joint-conference-dispute-resolution-in-the-inter-367.aspx,Flagship,"Two-day joint LCIA-AIEN conference examining arbitration, litigation and dispute resolution practices in the international energy sector."
